Any,Núm. Mes,Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Canal dels fets,Tipus de fet,Títol del fet (Codi Penal) o Llei de referència,Tipus de fet (Codi penal) o d'Infracció (altres lleis),Àmbit fet,Nombre fets o infraccions,Nombre víctimes
2021,12,desembre,RP  Metropolitana Nord,ABP Badalona,Barcelona,barcelones,Badalona,via pública urbana,Presencial,delictes,de les lesions,Lesions,Sexisme,1,1.0
2021,6,juny,RP Central,ABP Anoia,Barcelona,anoia,Resta municipis ABP Anoia,habitatge - escala/portal finca/replà,Presencial,delictes,delictes contra la llibertat,Amenaces,Sexisme,1,1.0
2021,6,juny,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,delictes contra la llibertat,Amenaces,Orientació política,1,1.0
2020,1,gener,RP  Metropolitana Nord,ABP Rubí,Barcelona,valles occidental,Sant Cugat del Vallès,centre de dia/residència persones grans,Presencial,delictes,delictes contra la constitucio,Contra exercici drets fonamentals i llibertats públiques,origen racial,1,1.0
2020,1,gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,barcelones,Barcelona,zona d'oci/lúdica,Presencial,delictes,delictes contra el patrimoni i contra l'ordre socioeconomic,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,1.0
2020,1,gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,valles occidental,Cerdanyola del Vallès,habitatge - primera residència - casa adossada,Presencial,delictes,delictes contra el patrimoni i contra l'ordre socioeconomic,Danys (lleu),Orientació política,1,1.0
2020,1,gener,RP Camp de Tarragona,ABP Tarragonès,Tarragona,tarragones,Tarragona,partit polític,Presencial,delictes,delictes contra la llibertat,Coaccions (lleu),Orientació política,1,1.0
2020,1,gener,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,delictes contra la constitucio,Contra exercici drets fonamentals i llibertats públiques,origen racial,1,2.0
2020,1,gener,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,segria,Lleida,habitatge - primera residència - pis/apartament,Internet o xarxes socials,delictes,delictes contra la llibertat,Amenaces (lleu),origen racial,1,1.0
2020,1,gener,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,barcelones,Barcelona,transport públic - renfe - adif - estació,Presencial,delictes,de les lesions,Lesions,origen racial,1,1.0
2020,1,gener,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,baix camp,Cambrils,via pública urbana,Presencial,delictes,de les lesions,Lesions (lleu),origen racial,1,2.0
2020,1,gener,RP Metropolitana Barcelona,ABP Les Corts,Barcelona,barcelones,Barcelona,habitatge - primera residència - pis/apartament,Internet o xarxes socials,delictes,delictes contra la llibertat,Amenaces (lleu),Orientació política,1,1.0
2020,1,gener,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,baix llobregat,Cornellà de Llobregat,via pública urbana,Presencial,delictes,de les lesions,Lesions (lleu),Orientació política,1,1.0
2020,1,gener,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,baix llobregat,Cornellà de Llobregat,habitatge - primera residència - pis/apartament,Internet o xarxes socials,delictes,delictes contra la llibertat,Amenaces (lleu),origen racial,1,1.0
2020,1,gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,barcelones,"Hospitalet de Llobregat, l'",partit polític,Presencial,infraccio administrativa,llei 4/15 de proteccio de seguretat ciutadana,Danys / deslluïments de béns mobles / immobles,Orientació política,1,1.0
2020,1,gener,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,baix llobregat,Cornellà de Llobregat,via pública urbana,Presencial,delictes,de les lesions,Lesions (lleu),Orientació política,1,1.0
2020,1,gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,pla de l'estany,Banyoles,habitatge - altres espais,Presencial,delictes,delictes contra la llibertat,Amenaces,Religiós,1,3.0
2020,1,gener,RP Girona,ABP Selva Litoral,Girona,selva,Lloret de Mar,via pública urbana,Presencial,delictes,delictes contra la constitucio,Contra exercici drets fonamentals i llibertats públiques,origen racial,1,1.0
2020,1,gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,delictes contra la constitucio,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1.0
2020,1,gener,RP Metropolitana Sud,ABP Garraf,Barcelona,garraf,Vilanova i la Geltrú,establiments - restauració - bar,Presencial,delictes,delictes contra la llibertat,Amenaces (lleu),origen racial,1,2.0
2020,1,gener,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,barcelones,Barcelona,habitatge - primera residència - pis/apartament,Presencial,delictes,delictes contra la llibertat,Amenaces (lleu),origen racial,1,1.0
2020,1,gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,valles occidental,Cerdanyola del Vallès,via pública urbana,Presencial,delictes,delictes contra la llibertat i la indemnitat sexuals,Abusos sexuals (víctima menor de 16 anys),Sexisme,1,2.0
2020,1,gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,barcelones,"Hospitalet de Llobregat, l'",transport públic - metro - estació,Presencial,delictes,delictes contra la llibertat,Amenaces,origen racial,1,1.0
2020,1,gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,girones,Girona,hosteleria - hotel,Presencial,delictes,delictes contra la llibertat,Coaccions (lleu),Orientació política,1,1.0
2020,1,gener,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,barcelones,Barcelona,transport públic - metro - comboi,Presencial,delictes,de les lesions,Lesions (lleu),LGTBI-fòbia,1,1.0
2020,1,gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,girones,Salt,habitatge - escala/portal finca/replà,Presencial,delictes,de les lesions,Lesions (lleu),origen racial,1,1.0
2020,1,gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,valles occidental,Cerdanyola del Vallès,via pública urbana,Presencial,delictes,delictes contra la constitucio,Contra exercici drets fonamentals i llibertats públiques,origen racial,1,1.0
2020,1,gener,RP Central,ABP Anoia,Barcelona,anoia,Resta de municipis ABP Anoia,establiments - altres comerços,Presencial,delictes,delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,1.0
2020,1,gener,RP  Metropolitana Nord,ABP Mollet del Vallès,Barcelona,valles oriental,Mollet del Vallès,via pública urbana,Presencial,delictes,delictes contra la llibertat,Assetjament,LGTBI-fòbia,1,1.0
2020,2,febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,valles occidental,Castellar del Vallès,habitatge - primera residència - casa adossada,Presencial,delictes,de les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,LGTBI-fòbia,1,1.0
2020,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,barcelones,Barcelona,habitatge - primera residència - casa adossada,Presencial,delictes,delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,2.0
2020,2,febrer,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,de les lesions,Lesions (lleu),LGTBI-fòbia,1,1.0
2020,2,febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,barcelones,Barcelona,transport públic - renfe - adif -comboi,Internet o xarxes socials,delictes,delictes contra la constitucio,Contra exercici drets fonamentals i llibertats públiques,Orientació política,1,1.0
2020,2,febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,barcelones,Badalona,via pública urbana,Presencial,delictes,delictes contra la constitucio,Contra exercici drets fonamentals i llibertats públiques,origen racial,1,5.0
2020,2,febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,delictes contra el patrimoni i contra l'ordre socioeconomic,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,1.0
2020,2,febrer,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,maresme,Resta de municipis ABP Arenys de Mar,habitatge - primera residència - pis/apartament,Presencial,delictes,delictes contra la llibertat,Amenaces (lleu),Orientació política,1,3.0
2020,2,febrer,RP  Metropolitana Nord,ABP Terrassa,Barcelona,valles occidental,Terrassa,via pública urbana,Presencial,delictes,delictes contra la constitucio,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1.0
2020,2,febrer,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,valles occidental,Resta de municipis ABP Cerdanyola,institut d'educació,Presencial,delictes,delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,1.0
2020,2,febrer,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,maresme,Resta de municipis ABP Arenys de Mar,habitatge - primera residència - pis/apartament,Presencial,delictes,delictes contra la llibertat,Amenaces (lleu),Orientació política,1,2.0
2020,2,febrer,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,segria,Lleida,establiments - casino,Presencial,delictes,de les lesions,Lesions (lleu),origen racial,1,1.0
2020,2,febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,barcelones,Barcelona,associació de veïns,Presencial,delictes,delictes contra el patrimoni i contra l'ordre socioeconomic,Danys (lleu),Orientació política,1,1.0
2020,2,febrer,RP Ponent,ABP Segarra - Urgell,Lleida,segarra,Resta de municipis ABP Segarra - Urgell,via pública urbana,Presencial,delictes,delictes contra la constitucio,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2.0
